epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1604325600,,,,122.5399235,123.1917038
1604325600,,122.6268,123.2409,,
1604329200,,122.6825,123.2985,,
1604329200,,,,122.5970411,123.2500148
1604332800,,,,122.650135,123.2935433
1604332800,,122.7198571,123.337,,
1604361600,,,,122.667,123.331
1604386800,,122.7278333,123.3324167,,
1604386800,,,,122.602357,123.2058398
1604390400,,122.6252222,123.2233333,,
1604390400,,,,122.4699822,123.132428
1604394000,,122.6208333,123.2190833,,
1604394000,,,,122.4706852,123.1352227
1604397600,,122.6505556,123.2487778,,
1604397600,,,,122.4744756,123.131226
1604401200,,,,122.3653361,123.0194353
1604401200,,122.5544,123.1515,,
1604404800,,122.6529,123.2659,,
1604404800,,,,122.5049745,123.1657211
1604408400,,122.75425,123.367625,,
1604408400,,,,122.5858098,123.2504431
1604412000,,,,122.5768328,123.2413545
1604412000,,122.7682222,123.3787778,,
1604415600,,,,122.5731821,123.2341771
1604415600,,122.7623846,123.3733846,,
1604419200,,122.712625,123.326375,,
1604419200,,,,122.526369,123.191381
1604448000,,,,122.522,123.198
1604462400,,122.051,124.0433333,,
1604466000,,122.017,124.015,,
1604469600,,124.82225,126.97175,,
1604473200,,123.2086364,124.4578636,,
1604473200,,,,123.0015481,123.6701242
1604476800,,,,122.8423443,123.5151659
1604476800,,122.955125,123.558875,,
1604480400,,122.95825,123.562875,,
1604480400,,,,122.863535,123.5224933
1604484000,,,,122.8506137,123.5117152
1604484000,,122.9588889,123.5656667,,
1604487600,,122.866375,123.46925,,
1604487600,,,,122.7276709,123.3851208
1604491200,,122.7479,123.3565,,
1604491200,,,,122.601625,123.2610078
1604494800,,,,122.6936269,123.3452761
1604494800,,122.803,123.4156,,
1604498400,,,,122.8274215,123.4872946
1604498400,,122.868,123.4799,,
1604502000,,,,122.8227232,123.4886425
1604502000,,122.886,123.4973333,,
1604505600,123.351,,,,
1604505600,,,,122.7942909,123.4643498
1604505600,,122.947375,123.558875,,
1604534400,,,,122.788,123.472
1604559600,,123.1244167,123.7345,,
1604559600,,,,123.1227749,123.7368236
1604563200,,123.116,123.7977333,,
1604563200,,,,123.1753135,123.8344486
1604566800,,123.0576667,123.859,,
1604566800,,,,123.2389582,123.9019084
1604570400,,123.067625,123.7485,,
1604570400,,,,123.1654377,123.8242218
1604574000,,,,123.1452494,123.8036441
1604574000,,123.0708,123.7154,,
1604577600,,,,123.0858296,123.747416
1604577600,,123.0702,123.6646,,
1604581200,,123.0552857,123.6372857,,
1604581200,,,,123.0364509,123.7005714
1604584800,,,,123.0219544,123.6982529
1604584800,124.448,,,,
1604584800,,123.1707143,124.6451429,,
1604588400,,,,123.0276088,123.7073067
1604588400,,123.24075,124.83625,,
1604592000,,123.4147,125.0832,,
1604592000,,,,123.0911024,123.7729859
1604620800,,,,123.091,123.788
1604642400,,123.19,123.807,,
1604646000,,,,123.2513163,123.8883367
1604646000,,123.29225,124.3918333,,
1604649600,,,,123.296898,123.9657031
1604653200,,,,123.4218985,124.0884579
1604653200,,123.6365714,124.854,,
1604656800,,,,123.3899932,124.0487722
1604656800,,123.5574286,124.8945714,,
1604660400,,,,123.3942818,124.0525187
1604660400,,123.575,124.8808,,
1604664000,,,,123.3954735,124.0676741
1604664000,,123.6012857,124.856,,
1604667600,,,,123.3248977,123.9969749
1604667600,,123.52425,124.88625,,
1604671200,,123.2665714,125.0082857,,
1604671200,,,,123.1554899,123.8210319
1604674800,,123.1073333,125.0848333,,
1604674800,,,,123.0746541,123.7440036
1604678400,,,,123.1582292,123.8313729
1604678400,,123.2408571,125.0205714,,
1604682000,,123.288,124.998,,
1604707200,,,,123.196,123.892
1604764800,,,,123.196,123.892
1604775600,,,,123.196,123.892
1604782800,,,,123.196,123.892
1604880000,,,,123.196,123.892
1604905200,,,,123.4463909,124.0539409
1604905200,,123.573,124.2665,,
1604908800,,123.8425833,124.46275,,
1604908800,,,,123.6249881,124.2852036
1604912400,,124.4582857,125.0692143,,
1604912400,,,,123.7681716,124.4293412
1604916000,,,,123.8439168,124.5101648
1604916000,,124.12,124.719,,
1604919600,,,,123.8452821,124.5108574
1604919600,,124.230375,124.8225,,
1604923200,,123.6203333,124.1987778,,
1604923200,,,,123.1946037,123.8316974
1604926800,,,,123.325712,123.9806368
1604926800,,123.7205714,124.2921429,,
1604930400,,123.6282,124.1987,,
1604930400,,,,123.1866515,123.8391479
1604934000,,,,123.1086457,123.7677716
1604934000,,123.5672,124.1349,,
1604937600,,,,123.0772359,123.7345653
1604937600,,123.490375,124.051625,,
1604941200,,123.461,124.022,,
1604941200,,,,123.066,123.731
1604966400,,,,123.066,123.731
1604991600,,,,123.1842759,123.840642
1604991600,,123.4216364,123.9565455,,
1604995200,124.181,,,,
1604995200,,,,123.1738882,123.8415902
1604995200,,123.4210625,123.916625,,
1604998800,,123.5911667,124.08575,,
1604998800,,,,123.0931522,123.7687269
1605002400,,123.9069474,124.4013158,,
1605002400,,,,123.1413348,123.8275923
1605006000,,,,123.1905808,123.8701991
1605006000,,123.8232,124.3016667,,
1605006000,124.034,,,,
1605009600,,123.7497857,124.2259286,,
1605009600,,,,123.175339,123.8647101
1605013200,,123.7395385,124.2209231,,
1605013200,,,,123.1004337,123.7839262
1605016800,,,,123.0547858,123.7346795
1605016800,,123.7725,124.252,,
1605020400,,,,123.0656102,123.7379255
1605020400,123.619,,,,
1605020400,,123.63225,124.1101667,,
1605024000,,,,123.0598978,123.7373714
1605024000,,123.479,123.95475,,
1605027600,123.956,,,,
1605031200,,123.715,124.191,,
1605052800,,,,123.045,123.737
1605078000,,123.66025,124.124,,
1605078000,,,,122.9554444,123.6022893
1605081600,,123.6895714,124.107,,
1605081600,,,,123.0172441,123.711747
1605085200,,123.718625,124.128875,,
1605085200,,,,123.081191,123.7782315
1605088800,,,,123.2381212,123.9370248
1605088800,,123.7439,124.1533,,
1605092400,,,,123.3821909,124.0633036
1605092400,,123.76025,124.18075,,
1605096000,,123.7467273,124.171,,
1605096000,,,,123.5231619,124.2000425
1605096000,123.682,,,,
1605099600,,123.6313333,124.0528333,,
1605099600,,,,123.6424228,124.3247816
1605103200,,123.643,124.0641667,,
1605103200,,,,123.6864615,124.3626013
1605106800,,,,123.6801902,124.3318551
1605106800,123.998,,,,
1605106800,,123.6405,124.061875,,
1605110400,,123.865875,124.282375,,
1605110400,,,,123.6319685,124.294669
1605139200,,,,123.677,124.349
1605164400,,123.9126154,124.3023077,,
1605164400,,,,123.8231439,124.4427942
1605168000,,,,123.715963,124.4202101
1605168000,,123.9576,124.3211,,
1605171600,,,,123.6578119,124.3637829
1605171600,,123.8146,124.3378,,
1605171600,124.302,,,,
1605175200,,,,123.6487201,124.3549725
1605175200,,123.6704375,124.3784375,,
1605175200,123.328,,,,
1605178800,,,,123.7600598,124.4677684
1605178800,,123.17125,124.1915,,
1605182400,,123.1658333,124.22075,,
1605182400,,,,123.7914417,124.4991415
1605186000,,,,123.7838735,124.4911551
1605186000,,123.1935714,124.2647143,,
1605189600,,123.1914444,124.2692222,,
1605189600,,,,123.8174206,124.5256402
1605193200,,123.1616,124.432,,
1605193200,,,,123.9066425,124.613131
1605196800,,123.1566364,124.4863636,,
1605196800,,,,123.9375216,124.6460639
1605200400,,123.156,124.488,,
1605225600,,,,123.959,124.681
1605250800,,,,124.189993,124.8043614
1605250800,,124.1825,124.646625,,
1605254400,,123.5700526,124.6473158,,
1605254400,,,,124.093036,124.7871319
1605258000,,,,124.0369182,124.7321389
1605258000,,123.5001111,124.7547778,,
1605258000,124.325,,,,
1605261600,,,,124.0162626,124.7053267
1605261600,,124.0817143,124.714,,
1605265200,124.375,,,,
1605265200,,,,124.0737296,124.76975
1605265200,,124.108875,124.7415,,
1605268800,124.6065,,,,
1605268800,,124.2466667,124.88,,
1605268800,,,,124.1960108,124.8759555
1605272400,,124.3301,124.9701,,
1605272400,,,,124.2462136,124.9175108
1605276000,,,,124.202125,124.8862896
1605276000,,124.315625,124.95575,,
1605279600,,124.2932222,124.934,,
1605279600,,,,124.1523735,124.8493133
